,Device_ID,Event_ID,Event_start_time,Tags,Free_text,Name_of_cat,Weight_of_cat,Tare_weight,min_sum,max_sum,mean_sum,std_sum,duration_of_event,max_10_dev,max_10_dur,Total_Tare_weight,hour_day
0,VA00000000000022,RXZlbnRJbmZvcm1hdGlvbjplZTIwZDI4MC1iMTNkLTQwYjUtYTg5ZC1hMzAwMjBkZjMzNmI=,2020-10-02 16:14:13,"['cat in box', 'defecation']",,Sparkler,4429,"[4882, 2049, 1642, 3099]",11699.0,17020.0,14796.140873015873,2032.1407489542357,201.57493300000303,11700.0,55.375,11672,16.2
1,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo0MzdlNTU1MS1hODQ2LTQyMWEtOGZhMy05ZTNjYmQwZGM2YWQ=,2021-10-12 14:10:23,"['urination', 'cat in box']","14:20:24	14:11:27	Confirmed activity, cat in the box, urination",Negan,4634,"[487, 2189, 1157, 4353]",8166.0,14423.0,10534.85551948052,2328.319055616576,123.17494100000272,8180.0,58.95,8186,14.2
2,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo0NDM5M2M2ZS1iYTQ5LTRhMDQtYmViYS1lYmE0OWVmZjAxY2Q=,2021-10-15 15:31:15,"['non_elimination', 'cat in box']","15:31:15	15:31:19	Confirmed activity, cat in the box, non-elimination",Negan,4920,"[426, 1997, 737, 4750]",7911.0,13268.0,8123.100870253164,936.7021935057877,63.17494399999927,7910.0,42.9,7910,15.5
3,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo0NjgwYjJhMy00MjQzLTQwODgtOTY1Mi04MGY1ODM1ZGU3ODE=,2021-01-11 13:19:24,"['cat in box', 'defecation']","13:19:10	13:21:25	Confirmed activity, cat in the box, defecation",Negan,5510,"[1752, -158, 1626, 4359]",7554.0,14302.0,11161.678697183099,2634.601154592073,170.37494600000286,7600.0,26.95,7579,13.3
4,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo0NjhiZGY1Mi0wNzMyLTQzODctOGNjYi0wYjBlMmQ5MDUwY2I=,2021-01-13 13:01:52,"['cat in box', 'defecation']","13:01:45	13:04:44	Confirmed activity, cat in the box, defecation",Negan,5523,"[1584, -948, 3099, 3569]",7332.0,13929.0,11382.558797909407,2434.302037438924,229.5749360000027,7340.0,34.8,7304,13.0
5,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo0OTFiMTg2Ni1hMGUwLTQ4NTUtYjBlMS0xYmFmYWNkOWEwYjQ=,2020-12-06 07:01:38,"['cat in box', 'urination']",,Negan,5503,"[679, 95, 2875, 3166]",6840.0,13064.0,10502.034510869566,2568.449412107744,183.97493400000303,6850.0,31.675,6815,7.0
6,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo0YjA3NGU4MS0wYjgxLTQyYjQtODk4NC05NDIzM2UzMGQ1YTU=,2020-12-13 14:48:19,"['non_elimination', 'cat in box']","14:48:17	14:48:42	Confirmed activity, cat in the box, non-elimination",Negan,5690,"[2984, -1405, 3177, 2756]",7441.0,13789.0,8793.285984848484,2308.1390238375966,79.17493300000297,7510.0,51.95,7512,14.8
7,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo0YTZjNjA1Zi0yMGNmLTRiNmQtYjAwZS00MTMwM2Y1MmI4MTk=,2020-12-07 21:51:59,"['cat in box', 'non_elimination']",,Negan,5527,"[1722, -923, 2499, 3642]",6940.0,12862.0,8646.693027210884,2522.8136165923106,117.57493200000316,6940.0,72.325,6940,21.8
8,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo0ZjBiY2RiYi01OWRlLTQ1NmMtYmZlZS05YjNiMGRiMGRlNmY=,2021-10-15 10:48:56,"['non_elimination', 'cat in box']","10:48:56	10:49:00	Confirmed activity, cat in the box, non-elimination",Negan,4910,"[391, 2078, 663, 4807]",7938.0,13128.0,8160.64375,957.1662314594638,63.97494800000277,7940.0,51.025,7939,10.8
9,VA00000000000037,RXZlbnRJbmZvcm1hdGlvbjo1MDRjMTZlYy03MTVhLTQ1NzEtYjkxYy1kN2Y0Y2NmYzRkYmE=,2020-12-27 06:25:15,"['urination', 'cat in box']","6:25:33	6:28:19	Confirmed activity, cat in the box, urination",Negan,5479,"[1056, -367, 3240, 3037]",6976.0,13078.0,11006.560954063605,2427.3798415192823,226.3749360000029,7000.0,35.825,6966,6.4
