,Device_ID,Event_ID,Event_start_time,Tags,Free_text,Name_of_cat,Weight_of_cat,Tare_weight,min_sum,max_sum,mean_sum,std_sum,duration_of_event,count_max_shift,count_min_shift
0,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo0OWQ4M2I3MS1kNDZmLTRiYjMtODJkYy1kMTE0MDg4OTBkOGQ=,2020-09-05T10:56:11-05:00,"['urination', 'cat in box']",,Ryan,6589,,7982,16035,10112.06513,2961.452803,151.974936,53,0
1,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo0YmI3ZDc5YS0wNzMwLTQ0MTUtYjFmOC0xMDdlNWI0ODNhY2Y=,2020-07-18T14:41:37-05:00,"['cat in box', 'synapse_labeled', 'urination']","14:42:15	14:43:09	Confirmed activity, cat in the box, urination",Ryan,6935,,6796,14962,10049.85446,3453.251838,111.975,34,0
2,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo0ZTBhMDVhOC0wZmI2LTQ2MGMtYmRiNC1jMWRlZGI5MmM3M2M=,2020-09-03T15:43:43-05:00,"['cat in box', 'urination']",,Ryan,5139,,8739,15311,11050.49756,2572.058837,102.374944,5,3
3,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo1NGEwMTg2My01NDhjLTRhYTctYjA4YS01ZjZmMGUzNmZjMjc=,2020-09-01T12:02:05-05:00,"['non_elimination', 'cat in box']",,Ryan,6983,,8786,16092,9855.522214,2384.826901,66.37494,1,7
4,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo1YzQwMzE4MS1lNzhkLTQ3NzMtOWI2Zi02YzcwODkzMDU1NGQ=,2020-08-08T06:47:11-05:00,"['cat in box', 'synapse_labeled', 'urination']","6:47:16	6:48:59	Confirmed activity, cat in the box, urination",Ryan,7017,,4760,12523,8927.666566,3379.64435,82.375,22,21
5,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo1ZWQyODcxZS0wYTI1LTQxMWUtOGQ0My0xOTRiZjI3ZDc4ZDA=,2020-09-07T04:33:29-05:00,"['cat in box', 'urination']",,Ryan,6105,,7703,14976,10425.04395,3003.852091,98.374931,4,0
6,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo2MGIxMzM3My03NmIwLTRhZTktYjRiYS0wNDcwMDY1NWU2YWQ=,2020-09-01T10:24:09-05:00,"['cat in box', 'defecation']",,Ryan,6019,,8777,16433,12623.49984,3028.573567,154.374956,48,58
7,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo2MWE0NzMzZS02NTkzLTRlNmQtOGIxMy0yMWUwZjFiNWE1ZWM=,2020-09-03T06:57:17-05:00,"['cat in box', 'urination']",,Ryan,6139,,8455,16114,12770.6767,2931.777549,173.574936,65,16
8,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo2ZGEzODliYy02M2I1LTRmNzUtODZhYi0zMDBlY2Y4ZWVmYWI=,2020-07-08T02:34:30-05:00,"['urination', 'cat in box']",,Ryan,7147,,4720,12725,8792.451185,3493.454332,122.375,29,0
9,VA00000000000017,RXZlbnRJbmZvcm1hdGlvbjo2ZjYwZTlhNC05OWNhLTRlODAtYTAwYS05MjFlZjlmNWUyMzI=,2020-07-29T06:28:40-05:00,"['cat in box', 'synapse_labeled', 'urination']","6:29:16	6:30:11	Confirmed activity, cat in the box, urination",Ryan,7127,,6906,14705,10042.03725,3505.683962,99.975,6,21
